time_bin,hour,total_jobs,flex1_jobs,flex2_jobs,flex3_jobs,power_mw,flexible_mw
0,0.0,4489,1,4462,25,0.97357,0.29335118501443674
1,0.25,5161,6,5027,127,1.06093,0.34329555702775444
2,0.5,5236,65,3934,1236,1.07068,0.41646172720769065
3,0.75,4763,35,4047,679,1.0091899999999998,0.35146755079484177
4,1.0,4854,23,4379,451,1.0210199999999998,0.34329679270910174
5,1.25,5124,10,4909,203,1.0561200000000002,0.34560199279032555
6,1.5,4754,57,3607,1089,1.00802,0.376076576585774
7,1.75,4772,4,4681,86,1.01036,0.31548856217980237
8,2.0,5572,15,5269,287,1.11436,0.3798582639389769
9,2.25,5287,34,4601,650,1.07731,0.38372773999660764
10,2.5,5142,110,2931,2099,1.05846,0.46351763443231087
11,2.75,4864,21,4443,399,1.02232,0.340732415199238
12,3.0,5695,1,5672,21,1.13035,0.37148342485113955
13,3.25,5305,7,5146,150,1.07965,0.3540766577342154
14,3.5,6145,52,5100,992,1.18885,0.4605424298222146
15,3.75,5924,1,5895,27,1.1601200000000003,0.3867432901741831
16,4.0,5507,14,5221,270,1.10591,0.37463394690780616
17,4.25,5621,123,3147,2349,1.12073,0.5100496027663187
18,4.5,6442,37,5684,719,1.22746,0.4630159865142178
19,4.75,5992,0,5976,14,1.16896,0.39039825453512306
20,5.0,5957,27,5407,522,1.16441,0.4193592087772784
21,5.25,6215,5,6096,112,1.19795,0.4109259066665108
22,5.5,6148,1,6120,26,1.1892399999999999,0.4012243820106967
23,5.75,6474,36,5751,686,1.23162,0.4630592743100173
24,6.0,6477,72,5033,1370,1.23201,0.5054270575723414
25,6.25,6860,19,6472,368,1.2818,0.4685787874707752
26,6.5,6579,24,6098,456,1.24527,0.45576995934459097
27,6.75,6527,81,4901,1543,1.23851,0.5193205567409165
28,7.0,6783,38,6008,736,1.27179,0.4862283481644123
29,7.25,6875,0,6859,15,1.28375,0.4477988502075726
30,7.5,7050,118,4676,2254,1.3065,0.5970870830487927
31,7.75,7353,45,6448,859,1.34589,0.5308420616199537
32,8.0,7423,13,7162,247,1.35499,0.4977360625999949
33,8.25,7693,57,6547,1087,1.39009,0.567036400298848
34,8.5,7169,25,6667,476,1.32197,0.4953214593172742
35,8.75,7605,39,6824,741,1.37865,0.5399775737116635
36,9.0,7778,1,7753,23,1.40114,0.5069944266996964
37,9.25,7425,24,6933,466,1.35525,0.5113624183059732
38,9.5,7627,35,6908,682,1.38151,0.5377649503417617
39,9.75,7222,10,7008,203,1.32886,0.4819321364388191
40,10.0,8071,5,7967,98,1.43923,0.5306528207975088
41,10.25,7780,37,7024,717,1.4014,0.5498896553973843
42,10.5,8127,21,7704,401,1.44651,0.5529490923792891
43,10.75,7982,57,6823,1100,1.42766,0.5866200276296015
44,11.0,7893,23,7420,448,1.41609,0.5406893857705344
45,11.25,7493,10,7283,199,1.36409,0.4993172096260106
46,11.5,7562,2,7512,46,1.37306,0.49441419829699707
47,11.75,7218,26,6694,497,1.32834,0.49980922105387615
48,12.0,7831,56,6702,1071,1.40803,0.5750180582037702
49,12.25,8680,31,8043,604,1.5184,0.6014135994505495
50,12.5,7600,38,6823,737,1.378,0.539422036028833
51,12.75,7181,65,5872,1243,1.32353,0.5433262522105581
52,13.0,8237,35,7530,670,1.46081,0.576721582458027
53,13.25,8629,34,7934,659,1.51177,0.6014994067427503
54,13.5,7975,23,7498,452,1.42675,0.5462581471053516
55,13.75,7931,51,6894,984,1.42103,0.5761325461642267
56,14.0,7706,17,7363,325,1.39178,0.5209419296420787
57,14.25,7208,12,6951,243,1.32704,0.4835382324932178
58,14.5,7254,17,6907,329,1.33302,0.49177733363007037
59,14.75,7532,4,7447,79,1.36916,0.4945039620280177
60,15.0,7408,20,6990,396,1.35304,0.505921010293176
61,15.25,7454,77,5897,1478,1.35902,0.575552659043725
62,15.5,7661,60,6456,1144,1.38593,0.5684416255793752
63,15.75,7158,6,7030,120,1.32054,0.472716357608184
64,16.0,7504,15,7201,287,1.36552,0.5054832448001635
65,16.25,6990,18,6615,355,1.2987,0.47623932630685595
66,16.5,7385,39,6600,745,1.35005,0.5259326555718664
67,16.75,7008,16,6673,318,1.30104,0.4751070441932513
68,17.0,6757,1,6726,28,1.26841,0.4409744498292531
69,17.25,6813,20,6394,397,1.27569,0.4673359084626893
70,17.5,6607,60,5390,1155,1.24891,0.5006265346365789
71,17.75,6632,33,5959,638,1.25216,0.47040762973284567
72,18.0,6727,45,5822,859,1.26451,0.4901570277002269
73,18.25,6375,57,5231,1086,1.21875,0.4812583825930806
74,18.5,6193,39,5407,745,1.19509,0.44846904742137966
75,18.75,5870,5,5757,107,1.1531,0.38814067345897635
76,19.0,6285,96,4361,1827,1.20705,0.5210486575652556
77,19.25,6122,3,6061,57,1.18586,0.40145230326127923
78,19.5,5571,17,5219,333,1.11423,0.38266231248522536
79,19.75,6087,6,5964,116,1.18131,0.40284155194025567
80,20.0,5390,27,4832,529,1.0907,0.38293885555039103
81,20.25,5975,6,5845,122,1.16675,0.3959252188642636
82,20.5,5793,0,5782,10,1.14309,0.37718647385375964
83,20.75,5636,33,4971,631,1.12268,0.4052023527829379
84,21.0,5326,24,4845,456,1.0823799999999997,0.37428871516583834
85,21.25,5544,14,5263,266,1.11072,0.37678353747299653
86,21.5,5632,10,5420,201,1.12216,0.37847722930908523
87,21.75,5430,0,5422,6,1.0959,0.35336133342417436
88,22.0,4999,30,4388,580,1.03987,0.36067671976966476
89,22.25,5234,14,4946,273,1.07042,0.35702188650696826
90,22.5,5453,0,5442,10,1.09889,0.3550784438723255
91,22.75,5739,4,5654,79,1.13607,0.37796100463808185
92,23.0,4989,7,4846,135,1.03857,0.33260635268464195
93,23.25,5286,0,5284,1,1.07718,0.3436745492642427
94,23.5,5353,4,5268,80,1.08589,0.35287436762889324
95,23.75,4759,20,4340,397,1.00867,0.3337957613014376
96,24.0,5534,101,3511,1921,1.10942,0.4780332625248619
97,24.25,4683,9,4496,177,0.99879,0.31531040651216374
98,24.5,5255,25,4735,493,1.07315,0.3719623970557165
99,24.75,5120,46,4192,881,1.0556,0.38707548420094173
100,25.0,5067,24,4578,464,1.04871,0.3579386253087978
101,25.25,5843,50,4832,960,1.14959,0.43891588260828024
102,25.5,5023,19,4632,371,1.0429899999999999,0.3493594207171049
103,25.75,5059,10,4849,198,1.04767,0.34108068196387636
104,26.0,5600,0,5597,2,1.118,0.3641474606566542
105,26.25,5481,32,4835,612,1.10253,0.3939996012847929
106,26.5,5694,43,4816,834,1.13022,0.4214712612619486
107,26.75,5407,14,5110,281,1.09291,0.36879248817093263
108,27.0,5534,5,5418,110,1.10942,0.36648435005177515
109,27.25,6081,0,6076,4,1.18053,0.39551679892283925
110,27.5,5336,9,5143,183,1.08368,0.3581220644848613
111,27.75,5635,5,5528,101,1.12255,0.37252929628364007
112,28.0,5989,39,5208,741,1.16857,0.4349646528480569
113,28.25,5777,58,4598,1119,1.1410100000000003,0.44445713389506686
114,28.5,5754,10,5535,207,1.13802,0.38678663167873367
115,28.75,6203,5,6095,102,1.19639,0.40948298281901224
116,29.0,6512,88,4742,1680,1.23656,0.5267854711726262
117,29.25,6165,26,5631,506,1.19145,0.43193176390939764
118,29.5,6253,32,5601,618,1.20289,0.444537851375812
119,29.75,6207,31,5570,604,1.19691,0.440708382754581
120,30.0,6411,23,5945,442,1.22343,0.4439477139830921
121,30.25,6923,12,6666,243,1.28999,0.46497208545323737
122,30.5,6720,39,5931,748,1.2636,0.4829109726489837
123,30.75,6551,13,6273,263,1.24163,0.4420358839293697
124,31.0,8545,73,7082,1389,1.50085,0.6409621044358738
125,31.25,8876,0,8862,12,1.54388,0.5777066001211573
126,31.5,8484,45,7582,856,1.49292,0.604179391482541
127,31.75,8343,18,7981,343,1.47459,0.5634571350563795
128,32.0,9485,24,9000,460,1.62305,0.6448876673540451
129,32.25,8498,16,8174,306,1.49474,0.5712675788521283
130,32.5,8884,26,8344,512,1.54492,0.6090102528798954
131,32.75,7558,52,6502,1002,1.37254,0.5530187053273516
132,33.0,7478,30,6863,583,1.36214,0.5220028374520522
